Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
209,2018-12-04,38.0,50.0,1,2,Vicarage Road,Watford,Manchester City,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/50.png
207,2018-12-05,44.0,40.0,1,3,Turf Moor,Burnley,Liverpool,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/40.png
208,2018-12-05,36.0,46.0,1,1,Craven Cottage,Fulham,Leicester,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/46.png
211,2018-12-05,39.0,49.0,2,1,Molineux Stadium,Wolves,Chelsea,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/49.png
213,2018-12-05,45.0,34.0,1,1,Goodison Park,Everton,Newcastle,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/34.png
212,2018-12-05,33.0,42.0,2,2,Old Trafford,Manchester United,Arsenal,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/42.png
214,2018-12-05,47.0,41.0,3,1,Wembley Stadium,Tottenham,Southampton,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/41.png
216,2018-12-08,35.0,40.0,0,4,Vitality Stadium,Bournemouth,Liverpool,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/40.png
215,2018-12-08,42.0,37.0,1,0,Emirates Stadium,Arsenal,Huddersfield,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/37.png
217,2018-12-08,44.0,51.0,1,0,Turf Moor,Burnley,Brighton,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/51.png
218,2018-12-08,43.0,41.0,1,0,Cardiff City Stadium,Cardiff,Southampton,https://media.api-sports.io/football/teams/43.png,https://media.api-sports.io/football/teams/41.png
222,2018-12-08,33.0,36.0,4,1,Old Trafford,Manchester United,Fulham,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/36.png
224,2018-12-08,48.0,52.0,3,2,London Stadium,West Ham,Crystal Palace,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/52.png
219,2018-12-08,49.0,50.0,2,0,Stamford Bridge,Chelsea,Manchester City,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/50.png
221,2018-12-08,46.0,47.0,0,2,King Power Stadium,Leicester,Tottenham,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/47.png
223,2018-12-09,34.0,39.0,1,2,St James' Park,Newcastle,Wolves,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/39.png
220,2018-12-10,45.0,38.0,2,2,Goodison Park,Everton,Watford,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/38.png
230,2018-12-15,50.0,45.0,3,1,Etihad Stadium,Manchester City,Everton,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/45.png
226,2018-12-15,52.0,46.0,1,0,Selhurst Park,Crystal Palace,Leicester,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/46.png
228,2018-12-15,37.0,34.0,0,1,John Smith's Stadium,Huddersfield,Newcastle,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/34.png
232,2018-12-15,47.0,44.0,1,0,Wembley Stadium,Tottenham,Burnley,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/44.png
233,2018-12-15,38.0,43.0,3,2,Vicarage Road,Watford,Cardiff,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/43.png
234,2018-12-15,39.0,35.0,2,0,Molineux Stadium,Wolves,Bournemouth,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/35.png
227,2018-12-15,36.0,48.0,0,2,Craven Cottage,Fulham,West Ham,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/48.png
225,2018-12-16,51.0,49.0,1,2,American Express Community Stadium,Brighton,Chelsea,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/49.png
231,2018-12-16,41.0,42.0,3,2,St. Mary's Stadium,Southampton,Arsenal,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/42.png
229,2018-12-16,40.0,33.0,3,1,Anfield,Liverpool,Manchester United,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/33.png
244,2018-12-21,39.0,40.0,0,2,Molineux Stadium,Wolves,Liverpool,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/40.png
235,2018-12-22,42.0,44.0,3,1,Emirates Stadium,Arsenal,Burnley,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/44.png
236,2018-12-22,35.0,51.0,2,0,Vitality Stadium,Bournemouth,Brighton,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/51.png
238,2018-12-22,49.0,46.0,0,1,Stamford Bridge,Chelsea,Leicester,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/46.png
240,2018-12-22,37.0,41.0,1,3,John Smith's Stadium,Huddersfield,Southampton,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/41.png
241,2018-12-22,50.0,52.0,2,3,Etihad Stadium,Manchester City,Crystal Palace,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/52.png
242,2018-12-22,34.0,36.0,0,0,St James' Park,Newcastle,Fulham,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/36.png
243,2018-12-22,48.0,38.0,0,2,London Stadium,West Ham,Watford,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/38.png
237,2018-12-22,43.0,33.0,1,5,Cardiff City Stadium,Cardiff,Manchester United,https://media.api-sports.io/football/teams/43.png,https://media.api-sports.io/football/teams/33.png
239,2018-12-23,45.0,47.0,2,6,Goodison Park,Everton,Tottenham,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/47.png
248,2018-12-26,36.0,39.0,1,1,Craven Cottage,Fulham,Wolves,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/39.png
246,2018-12-26,44.0,45.0,1,5,Turf Moor,Burnley,Everton,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/45.png
247,2018-12-26,52.0,43.0,0,0,Selhurst Park,Crystal Palace,Cardiff,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/43.png
249,2018-12-26,46.0,50.0,2,1,King Power Stadium,Leicester,Manchester City,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/50.png
250,2018-12-26,40.0,34.0,4,0,Anfield,Liverpool,Newcastle,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/34.png
251,2018-12-26,33.0,37.0,3,1,Old Trafford,Manchester United,Huddersfield,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/37.png
253,2018-12-26,47.0,35.0,5,0,Wembley Stadium,Tottenham,Bournemouth,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/35.png
245,2018-12-26,51.0,42.0,1,1,American Express Community Stadium,Brighton,Arsenal,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/42.png
254,2018-12-26,38.0,49.0,1,2,Vicarage Road,Watford,Chelsea,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/49.png
252,2018-12-27,41.0,48.0,1,2,St. Mary's Stadium,Southampton,West Ham,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/48.png
255,2018-12-29,51.0,45.0,1,0,American Express Community Stadium,Brighton,Everton,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/45.png
258,2018-12-29,36.0,37.0,1,0,Craven Cottage,Fulham,Huddersfield,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/37.png
259,2018-12-29,46.0,43.0,0,1,King Power Stadium,Leicester,Cardiff,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/43.png
263,2018-12-29,47.0,39.0,1,3,Wembley Stadium,Tottenham,Wolves,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/39.png
264,2018-12-29,38.0,34.0,1,1,Vicarage Road,Watford,Newcastle,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/34.png
260,2018-12-29,40.0,42.0,5,1,Anfield,Liverpool,Arsenal,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/42.png
257,2018-12-30,52.0,49.0,0,1,"Selhurst Park, London",Crystal Palace,Chelsea,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/49.png
256,2018-12-30,44.0,48.0,2,0,"Turf Moor, Burnley",Burnley,West Ham,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/48.png
262,2018-12-30,41.0,50.0,1,3,"St. Mary's Stadium, Southampton",Southampton,Manchester City,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/50.png
